wiki_key,display_name,party,status,required,declared_on,checked_on,source,notes
philippe,Édouard Philippe,Horizons,declared,FALSE,2026-07-05,2026-07-08,https://france3-regions.franceinfo.fr/normandie/seine-maritime/havre/politique-edouard-philippe-a-lance-sa-campagne-presidentielle-que-faut-il-retenir-de-son-premier-meeting-a-paris-3381802.html,Declare depuis septembre 2024 ; campagne lancee au Havre debut juillet 2026
retailleau,Bruno Retailleau,Les Republicains,declared,FALSE,2026-04-19,2026-07-08,https://fr.euronews.com/2026/02/12/presidentielle-de-2027-bruno-retailleau-annonce-sa-candidature-et-promet-des-referendums,Investi candidat LR le 19 avril 2026
wauquiez,Laurent Wauquiez,Les Republicains,withdrawn,FALSE,2026-05-12,2026-07-08,https://www.franceinfo.fr/elections/presidentielle/presidentielle-2027-bruno-retailleau-est-le-candidat-legitime-des-republicains-reconnait-laurent-wauquiez_7999268.html,"A renonce, soutient Edouard Philippe"
zemmour,Éric Zemmour,Reconquete,likely,FALSE,2026-05-19,2026-07-08,https://www.lagazettefrance.fr/article/eric-zemmour-a-la-reconquete-de-sa-candidature,"""S'il n'y a pas de primaire [a droite], je serai candidat"""
villepin,Dominique de Villepin,La France humaniste,likely,FALSE,2026-05-29,2026-07-08,https://www.franceinfo.fr/elections/presidentielle/presidentielle-2027-pas-encore-officiellement-candidat-dominique-de-villepin-en-campagne-a-la-rochelle_8035430.html,"En precampagne, pas d'annonce formelle"
bertrand,Xavier Bertrand,Nous France,declared,FALSE,,2026-07-08,,Candidat declare (panorama presse LCP/France 24) — a confirmer
lisnard,David Lisnard,Nouvelle Energie,declared,FALSE,2026-03-31,2026-07-08,,"A quitte LR fin mars 2026, candidature officialisee (LCP) — a confirmer"
hollande,Francois Hollande,Parti socialiste,undecided,FALSE,,2026-07-08,,"""Si je dois me declarer, ce sera en decembre"" (27 mai 2026)"
dupont-aignan,Nicolas Dupont-Aignan,Debout la France,declared,FALSE,,2026-07-08,,Candidat declare (LCP) — a confirmer
arthaud,Nathalie Arthaud,Lutte ouvriere,declared,FALSE,,2026-07-08,,Candidate declaree (LCP) — a confirmer
knafo,Sarah Knafo,Reconquete,undecided,FALSE,,2026-07-08,,Testee dans les sondages comme alternative a Zemmour
autain,Clementine Autain,L'Apres,declared,FALSE,,2026-07-08,,Candidate a la primaire de la gauche du 11 octobre 2026 — a confirmer
le maire,Bruno Le Maire,Renaissance,undecided,FALSE,,2026-07-08,,Cite comme pretendant possible (LCP)
cazeneuve,Bernard Cazeneuve,La Convention,undecided,FALSE,,2026-07-08,,Cite comme pretendant possible (LCP)
royal,Segolene Royal,Divers gauche,undecided,FALSE,,2026-07-08,,Citee comme pretendante possible (LCP)
borne,Elisabeth Borne,Renaissance,undecided,FALSE,,2026-07-08,,Citee comme pretendante possible (LCP)
macron,Emmanuel Macron,Renaissance,ineligible,FALSE,,2026-07-08,,Non reeligible : deux mandats consecutifs (art. 6 de la Constitution)
